,Array,Time,Permutation Count
Brute,[0],6.103515625e-05,1
Refined,[0],7.867813110351562e-06,1
Brute,[0],3.0994415283203125e-05,1
Refined,[0],5.9604644775390625e-06,1
Brute,[0],3.4809112548828125e-05,1
Refined,[0],7.152557373046875e-06,1
Brute,[0],3.0994415283203125e-05,1
Refined,[0],6.9141387939453125e-06,1
Brute,[0],2.8133392333984375e-05,1
Refined,[0],7.152557373046875e-06,1
Brute,[0],2.7894973754882812e-05,1
Refined,[0],6.198883056640625e-06,1
Brute,[0],2.4080276489257812e-05,1
Refined,[0],5.9604644775390625e-06,1
Brute,[0],3.2901763916015625e-05,1
Refined,[0],7.152557373046875e-06,1
Brute,[0],2.574920654296875e-05,1
Refined,[0],7.152557373046875e-06,1
Brute,[0],3.0994415283203125e-05,1
Refined,[0],5.9604644775390625e-06,1
Brute,"[0, 1]",0.00014901161193847656,2
Refined,"[0, 1]",1.0967254638671875e-05,2
Brute,"[0, 1]",0.00012683868408203125,2
Refined,"[0, 1]",1.0013580322265625e-05,2
Brute,"[0, 1]",0.00012111663818359375,2
Refined,"[0, 1]",8.821487426757812e-06,2
Brute,"[0, 1]",0.0001430511474609375,2
Refined,"[0, 1]",1.0967254638671875e-05,2
Brute,"[0, 1]",0.00014019012451171875,2
Refined,"[0, 1]",1.0013580322265625e-05,2
Brute,"[0, 1]",0.00013303756713867188,2
Refined,"[0, 1]",8.821487426757812e-06,2
Brute,"[0, 1]",0.0001399517059326172,2
Refined,"[0, 1]",1.0728836059570312e-05,2
Brute,"[0, 1]",0.00015735626220703125,2
Refined,"[0, 1]",1.7881393432617188e-05,2
Brute,"[0, 1]",0.00018286705017089844,2
Refined,"[0, 1]",2.09808349609375e-05,2
Brute,"[0, 1]",0.0001590251922607422,2
Refined,"[0, 1]",1.2874603271484375e-05,2
Brute,"[0, 1, 2]",0.003629922866821289,6
Refined,"[0, 1, 2]",4.38690185546875e-05,6
Brute,"[0, 1, 2]",0.0034072399139404297,6
Refined,"[0, 1, 2]",2.9802322387695312e-05,6
Brute,"[0, 1, 2]",0.003397226333618164,6
Refined,"[0, 1, 2]",4.696846008300781e-05,6
Brute,"[0, 1, 2]",0.002145051956176758,6
Refined,"[0, 1, 2]",2.47955322265625e-05,6
Brute,"[0, 1, 2]",0.0030930042266845703,6
Refined,"[0, 1, 2]",3.0994415283203125e-05,6
Brute,"[0, 1, 2]",0.0046498775482177734,6
Refined,"[0, 1, 2]",7.414817810058594e-05,6
Brute,"[0, 1, 2]",0.0031328201293945312,6
Refined,"[0, 1, 2]",3.409385681152344e-05,6
Brute,"[0, 1, 2]",0.0030999183654785156,6
Refined,"[0, 1, 2]",2.9087066650390625e-05,6
Brute,"[0, 1, 2]",0.003175020217895508,6
Refined,"[0, 1, 2]",3.0040740966796875e-05,6
Brute,"[0, 1, 2]",0.003013134002685547,6
Refined,"[0, 1, 2]",3.0994415283203125e-05,6
Brute,"[0, 1, 2, 3]",0.037242889404296875,24
Refined,"[0, 1, 2, 3]",5.984306335449219e-05,24
Brute,"[0, 1, 2, 3]",0.03534102439880371,24
Refined,"[0, 1, 2, 3]",5.817413330078125e-05,24
Brute,"[0, 1, 2, 3]",0.03463482856750488,24
Refined,"[0, 1, 2, 3]",6.198883056640625e-05,24
Brute,"[0, 1, 2, 3]",0.037101030349731445,24
Refined,"[0, 1, 2, 3]",6.198883056640625e-05,24
Brute,"[0, 1, 2, 3]",0.036952972412109375,24
Refined,"[0, 1, 2, 3]",5.91278076171875e-05,24
Brute,"[0, 1, 2, 3]",0.03502225875854492,24
Refined,"[0, 1, 2, 3]",0.00015592575073242188,24
Brute,"[0, 1, 2, 3]",0.03458285331726074,24
Refined,"[0, 1, 2, 3]",0.0001049041748046875,24
